Hexes {
(-4 -1) LeftEdgeSeaFiller
(-4 0) LeftEdgeSeaFiller
(-4 1) LeftEdgeSeaFiller
(-4 2) LeftEdgeSeaFiller
(-4 3) LeftEdgeSeaFiller
(-4 4) LeftEdgeSeaFiller
(-4 5) LeftEdgeSeaFiller
(-4 6) LeftEdgeSeaFiller
(-4 7) LeftEdgeSeaFiller
(-4 8) LeftEdgeSeaFiller
(-4 9) LeftEdgeSeaFiller
(-4 10) LeftEdgeSeaFiller
(-4 11) LeftEdgeSeaFiller
(-4 12) LeftEdgeSeaFiller
(-4 13) LeftEdgeSeaFiller
(-4 14) LeftEdgeSeaFiller
(-4 15) LeftEdgeSeaFiller
(-4 16) LeftEdgeSeaFiller
(-4 17) LeftEdgeSeaFiller
(-4 18) LeftEdgeSeaFiller
(-4 19) LeftEdgeSeaFiller
(-4 20) LeftEdgeSeaFiller
(-4 21) LeftEdgeSeaFiller
(-4 22) LeftEdgeSeaFiller
(-4 23) LeftEdgeSeaFiller
(-4 24) LeftEdgeSeaFiller
(-4 25) LeftEdgeSeaFiller
(-4 26) LeftEdgeSeaFiller
(-4 27) LeftEdgeSeaFiller
(-4 28) LeftEdgeSeaFiller
(-4 29) LeftEdgeSeaFiller
(-4 30) LeftEdgeSeaFiller
(-4 31) LeftEdgeSeaFiller
(-4 32) LeftEdgeSeaFiller
(-4 33) LeftEdgeSeaFiller
(-4 34) UpperLeftCornerFiller
(-3 -2) BottomEdgeSeaFiller
(-3 -1) SeaFiller
(-3 0) SeaFiller
(-3 1) SeaFiller
(-3 2) SeaFiller
(-3 3) SeaFiller
(-3 4) SeaFiller
(-3 5) SeaFiller
(-3 6) SeaFiller
(-3 7) SeaFiller
(-3 8) SeaFiller
(-3 9) SeaFiller
(-3 10) SeaFiller
(-3 11) SeaFiller
(-3 12) SeaFiller
(-3 13) SeaFiller
(-3 14) SeaFiller
(-3 15) SeaFiller
(-3 16) SeaFiller
(-3 17) SeaFiller
(-3 18) SeaFiller
(-3 19) SeaFiller
(-3 20) SeaFiller
(-3 21) SeaFiller
(-3 22) SeaFiller
(-3 23) SeaFiller
(-3 24) SeaFiller
(-3 25) SeaFiller
(-3 26) SeaFiller
(-3 27) SeaFiller
(-3 28) SeaFiller
(-3 29) SeaFiller
(-3 30) SeaFiller
(-3 31) SeaFiller
(-3 32) SeaFiller
(-3 33) SeaFiller
(-2 -1) SeaFiller
(-2 0) SeaFiller
(-2 1) SeaFiller
(-2 2) SeaFiller
(-2 3) SeaFiller
(-2 4) SeaFiller
(-2 5) SeaFiller
(-2 6) SeaFiller
(-2 7) SeaFiller
(-2 8) SeaFiller
(-2 9) SeaFiller
(-2 10) SeaFiller
(-2 11) SeaFiller
(-2 12) SeaFiller
(-2 13) SeaFiller
(-2 14) SeaFiller
(-2 15) SeaFiller
