// This file has a line for each hex that will be on the board.  The format is
//
// (x-coor y-coor) hexType [City Name] [Supply Capacity] [Invasion Index] [Port Name]
//         int hexXPositionWord = 1;
//         int hexYPositionWord = 2;
//         int hexTypeWord = 4;
//         int hexCityNameWord = 5;
//         int hexSupplyCapacity = 5;
//         int hexInvasionIndex = 6;
//         int hexPortNameWord = 7;
//
// Note that the position of the City name and the name of Port name is different because the name
// needs to be the last field since the name could contain multiple words
//
// There are 14 different type of hexes on the board playing area:
// 	City
// 	Fortress
// 	Port
// 	FortifiedPort
// 	InlandPort
// 	InlandFortifiedPort
// 	Coast
// 	Mountain
// 	Impassible
// 	FortifiedReplacement
// 	Replacement
// 	Fortified
// 	Bridge
// 	Sea
//
// There are also 14 filler hexes that are just used to make the board look square
// 	SeaFiller
// 	LeftEdgeSeaFiller
// 	Neutral
// 	BottomEdgeNeutralFiller
// 	RightEdgeNeutralFiller
// 	RightEdgeLandFiller
// 	RightEdgeSeaFiller
// 	UpperRightCornerFiller
// 	UpperEdgeSeaFiller
// 	UpperEdgeMountainFiller
// 	UpperLeftCornerFiller
// 	UpperEdgeNeutralFiller
// 	UpperEdgeLandFiller
// 	MountainFiller
//
//
Hexes {
(-4 -1) LeftEdgeSeaFiller
(-4 0) LeftEdgeSeaFiller
(-4 1) LeftEdgeSeaFiller
(-4 2) LeftEdgeSeaFiller
(-4 3) LeftEdgeSeaFiller
(-4 4) LeftEdgeSeaFiller
(-4 5) LeftEdgeSeaFiller
(-4 6) LeftEdgeSeaFiller
(-4 7) LeftEdgeSeaFiller
(-4 8) LeftEdgeSeaFiller
(-4 9) LeftEdgeSeaFiller
(-4 10) LeftEdgeSeaFiller
(-4 11) LeftEdgeSeaFiller
(-4 12) LeftEdgeSeaFiller
(-4 13) LeftEdgeSeaFiller
(-4 14) LeftEdgeSeaFiller
(-4 15) LeftEdgeSeaFiller
(-4 16) LeftEdgeSeaFiller
(-4 17) LeftEdgeSeaFiller
(-4 18) LeftEdgeSeaFiller
(-4 19) LeftEdgeSeaFiller
(-4 20) LeftEdgeSeaFiller
(-4 21) LeftEdgeSeaFiller
(-4 22) LeftEdgeSeaFiller
(-4 23) LeftEdgeSeaFiller
(-4 24) LeftEdgeSeaFiller
(-4 25) LeftEdgeSeaFiller
(-4 26) LeftEdgeSeaFiller
(-4 27) LeftEdgeSeaFiller
(-4 28) LeftEdgeSeaFiller
(-4 29) LeftEdgeSeaFiller
(-4 30) LeftEdgeSeaFiller
(-4 31) LeftEdgeSeaFiller
(-4 32) LeftEdgeSeaFiller
(-4 33) LeftEdgeSeaFiller
(-4 34) UpperLeftCornerFiller
(-3 -2) BottomEdgeSeaFiller
(-3 -1) SeaFiller
(-3 0) SeaFiller
(-3 1) SeaFiller
(-3 2) SeaFiller
(-3 3) SeaFiller
(-3 4) SeaFiller
